,city,confidence,country,id,imageId,imageUrl,inscale,isJamUnifiedAlert,location,magvar,nComments,nImages,nThumbsUp,nearBy,pubMillis,reliability,reportBy,reportByActiveGroupIcon,reportByActiveGroupName,reportDescription,reportMood,reportRating,roadType,showFacebookPic,speed,street,subtype,type,uuid,wazeData,datetime,lon,lat,thumbs_up,thumbs_down,comments,geometry
66,Little India,0,SN,alert-1650273309/469fa8bc-b784-39b8-9047-b03d16c88eed,,,False,False,"{'x': 103.854926, 'y': 1.3048}",214,0,0,0,,1563867106000,6,,,,,50,0,2.0,False,0,Jln Besar,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,469fa8bc-b784-39b8-9047-b03d16c88eed,"world,103.854926,1.3048,469fa8bc-b784-39b8-9047-b03d16c88eed,1650273309",2019-07-23 07:31:46,103.854926,1.3048,0,0,0,POINT (103.854926 1.3048)
67,Rochor,0,SN,alert-1655445674/46f5a4f4-8624-334e-b5de-eef56736f79f,,,False,False,"{'x': 103.85625, 'y': 1.301202}",41,0,0,2,,1563862754000,8,,,,,50,3,2.0,False,0,Victoria St,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,46f5a4f4-8624-334e-b5de-eef56736f79f,"world,103.85625,1.301202,46f5a4f4-8624-334e-b5de-eef56736f79f,1655445674",2019-07-23 06:19:14,103.85625,1.301202,2,0,2,POINT (103.85625 1.301202)
68,Newton,1,SN,alert-1641393922/61abe31d-150c-3bb4-a85a-4ee673fde21b,,,False,False,"{'x': 103.838752, 'y': 1.313077}",53,0,0,2,,1563867393000,7,Vincsin17,,,,49,5,2.0,False,0,,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,61abe31d-150c-3bb4-a85a-4ee673fde21b,"world,103.838752,1.313077,61abe31d-150c-3bb4-a85a-4ee673fde21b,1641393922",2019-07-23 07:36:33,103.838752,1.313077,2,0,2,POINT (103.838752 1.313077)
69,River Valley,1,SN,alert-1652826155/5d7b2852-75d2-3c50-a64e-6f9a4366a09e,,,False,False,"{'x': 103.826211, 'y': 1.290853}",0,0,0,2,,1563863042000,7,,,,,49,4,2.0,False,0,Delta Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,5d7b2852-75d2-3c50-a64e-6f9a4366a09e,"world,103.826211,1.290853,5d7b2852-75d2-3c50-a64e-6f9a4366a09e,1652826155",2019-07-23 06:24:02,103.826211,1.290853,2,0,2,POINT (103.826211 1.290853)
70,Newton,1,SN,alert-1640900351/50388a21-d045-3059-ba64-faf67ff6aaf3,,,False,False,"{'x': 103.841684, 'y': 1.307529}",219,0,0,3,,1563848498000,8,,,,,24,2,1.0,False,0,Cavenagh Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,50388a21-d045-3059-ba64-faf67ff6aaf3,"world,103.841684,1.307529,50388a21-d045-3059-ba64-faf67ff6aaf3,1640900351",2019-07-23 02:21:38,103.841684,1.307529,3,0,3,POINT (103.841684 1.307529)
71,Outram,0,SN,alert-1656553307/7c4859b7-f54b-3868-9c23-46fa02ab2d8e,,,False,False,"{'x': 103.843438, 'y': 1.287625}",115,0,0,0,,1563867714000,5,,,,,49,4,2.0,False,0,Havelock Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,7c4859b7-f54b-3868-9c23-46fa02ab2d8e,"world,103.843438,1.287625,7c4859b7-f54b-3868-9c23-46fa02ab2d8e,1656553307",2019-07-23 07:41:54,103.843438,1.287625,0,0,0,POINT (103.843438 1.287625)
72,River Valley,0,SN,alert-1658653416/f7ea6ac9-5070-36d7-9c8a-d8103ee951a3,,,False,False,"{'x': 103.831014, 'y': 1.294586}",63,1,0,0,,1563867764000,6,Total_Kaos123,,,,8,4,,False,0,Kim Seng Walk,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD,f7ea6ac9-5070-36d7-9c8a-d8103ee951a3,"world,103.831014,1.294586,f7ea6ac9-5070-36d7-9c8a-d8103ee951a3,1658653416",2019-07-23 07:42:44,103.831014,1.294586,0,1,1,POINT (103.831014 1.294586)
73,Orchard,0,SN,alert-1635947162/5ed8bc12-44a6-31a3-8e07-eeddbd35ff94,,,False,False,"{'x': 103.835614, 'y': 1.301903}",28,0,0,0,,1563867775000,5,,,,,49,1,17.0,False,0,Lobby Mandarin Orchard,JAM_HEAVY_TRAFFIC,JAM,5ed8bc12-44a6-31a3-8e07-eeddbd35ff94,"world,103.835614,1.301903,5ed8bc12-44a6-31a3-8e07-eeddbd35ff94,1635947162",2019-07-23 07:42:55,103.835614,1.301903,0,0,0,POINT (103.835614 1.301903)
74,Orchard,0,SN,alert-1647267198/4b9f7447-00b5-3369-a0f6-15ac3b30f024,,,False,False,"{'x': 103.835809, 'y': 1.302338}",19,0,0,0,,1563867872000,5,,,,,49,1,2.0,False,0,Orchard Link,JAM_STAND_STILL_TRAFFIC,JAM,4b9f7447-00b5-3369-a0f6-15ac3b30f024,"world,103.835809,1.302338,4b9f7447-00b5-3369-a0f6-15ac3b30f024,1647267198",2019-07-23 07:44:32,103.835809,1.302338,0,0,0,POINT (103.835809 1.302338)
75,,0,SN,alert-1658753226/0de346d2-ea3d-333f-adb4-2168e68ac941,,,False,False,"{'x': 103.885883, 'y': 1.295572}",285,0,0,0,Siglap,1563868024000,5,,,,,10,3,4.0,False,0,,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD,0de346d2-ea3d-333f-adb4-2168e68ac941,"world,103.885883,1.295572,0de346d2-ea3d-333f-adb4-2168e68ac941,1658753226",2019-07-23 07:47:04,103.885883,1.295572,0,0,0,POINT (103.885883 1.295572)
76,River Valley,2,SN,alert-1652907246/45b7d0cc-8937-3e24-b7e9-c3c3061eef9e,,,False,False,"{'x': 103.840361, 'y': 1.289068}",107,0,0,5,,1563868114000,10,,,,,1,3,2.0,False,0,Havelock Rd,ACCIDENT_MINOR,ACCIDENT,45b7d0cc-8937-3e24-b7e9-c3c3061eef9e,"world,103.840361,1.289068,45b7d0cc-8937-3e24-b7e9-c3c3061eef9e,1652907246",2019-07-23 07:48:34,103.840361,1.289068,5,0,5,POINT (103.840361 1.289068)
77,Tanjong Rhu,0,SN,alert-1643854201/acaee259-cac8-3795-8a4b-6a138bffa477,,,False,False,"{'x': 103.884348, 'y': 1.298041}",95,0,0,2,,1563849214000,8,Henro88,,,,46,2,1.0,False,0,Tanjong Rhu Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,acaee259-cac8-3795-8a4b-6a138bffa477,"world,103.884348,1.298041,acaee259-cac8-3795-8a4b-6a138bffa477,1643854201",2019-07-23 02:33:34,103.884348,1.298041,2,0,2,POINT (103.884348 1.298041)
78,Kallang,0,SN,alert-1642424530/b97da5f1-2714-3d31-ba76-fb0f67e1390d,,,False,False,"{'x': 103.860381, 'y': 1.318054}",37,0,0,0,,1563868183000,5,zayo123,,,,24,4,2.0,False,0,Serangoon Road,JAM_STAND_STILL_TRAFFIC,JAM,b97da5f1-2714-3d31-ba76-fb0f67e1390d,"world,103.860381,1.318054,b97da5f1-2714-3d31-ba76-fb0f67e1390d,1642424530",2019-07-23 07:49:43,103.860381,1.318054,0,0,0,POINT (103.860381 1.318054)
79,Novena,1,SN,alert-1657575876/60cd018f-e1f5-3ca8-aaf2-11dff1e85d61,,,False,False,"{'x': 103.844646, 'y': 1.316596}",161,0,0,4,,1563857072000,10,edojirro,,,,1,1,2.0,False,0,Thomson Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,60cd018f-e1f5-3ca8-aaf2-11dff1e85d61,"world,103.844646,1.316596,60cd018f-e1f5-3ca8-aaf2-11dff1e85d61,1657575876",2019-07-23 04:44:32,103.844646,1.316596,4,0,4,POINT (103.844646 1.316596)
80,,0,SN,alert-1641374092/9d00dbf0-58fb-3840-af47-d59b0be4d524,,,False,False,"{'x': 103.841357, 'y': 1.288155}",132,0,0,0,Outram,1563868228000,5,,,,,24,0,2.0,False,0,,,ACCIDENT,9d00dbf0-58fb-3840-af47-d59b0be4d524,"world,103.841357,1.288155,9d00dbf0-58fb-3840-af47-d59b0be4d524,1641374092",2019-07-23 07:50:28,103.841357,1.288155,0,0,0,POINT (103.841357 1.288155)
81,Downtown,0,SN,alert-1639793503/d6b714d4-e2dd-3b84-a244-4151c91b4fa7,,,False,False,"{'x': 103.849577, 'y': 1.278342}",301,0,0,0,,1563868259000,5,Total_Kaos123,,,,8,4,,False,0,McCallum St,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD,d6b714d4-e2dd-3b84-a244-4151c91b4fa7,"world,103.849577,1.278342,d6b714d4-e2dd-3b84-a244-4151c91b4fa7,1639793503",2019-07-23 07:50:59,103.849577,1.278342,0,0,0,POINT (103.849577 1.278342)
82,Bukit Merah,0,SN,alert-1635164342/987209d3-6cfc-373c-9acf-18a322949ff5,,,False,False,"{'x': 103.817511, 'y': 1.288829}",298,0,0,0,,1563857371000,5,Loontoot,,,,49,3,1.0,False,0,Tiong Bahru Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,987209d3-6cfc-373c-9acf-18a322949ff5,"world,103.817511,1.288829,987209d3-6cfc-373c-9acf-18a322949ff5,1635164342",2019-07-23 04:49:31,103.817511,1.288829,0,0,0,POINT (103.817511 1.288829)
